岗位,薪水,公司名称,详细信息,公司链接,公司要求,发布时间
java 高级工程师,18k-36k,有链,移动互联网不需要融资20-99人,https://www.zhipin.com/job_detail/ceec07f0ffdc85521Xd63Nq9FVc~.html,北京  1-3年本科,发布于07月13日
java工程师,15k-30k,京东集团,电子商务不需要融资10000人以上,https://www.zhipin.com/job_detail/2add1ea5ae330b7f1nZ929y_GFo~.html,北京  不限本科,发布于07月20日
Java工程师（人工智能方向）,18k-24k,华为,计算机软件不需要融资10000人以上,https://www.zhipin.com/job_detail/0a8a9e95b541f4de1XZ53Nu8Elc~.html,北京  1-3年本科,发布于06月28日
高级java开发工程师,15k-30k,尚德机构,互联网已上市10000人以上,https://www.zhipin.com/job_detail/e2ed7404d25c0bc91nZ52d60ElE~.html,北京  1-3年本科,发布于04月09日
Java开发工程师,15k-30k,Keep,互联网D轮及以上500-999人,https://www.zhipin.com/job_detail/f65d4308040ddb8c1Xd93t24Flo~.html,北京  1-3年本科,发布于07月26日
JAVA开发工程师,15k-30k,顺丰同城科技,互联网不需要融资100-499人,https://www.zhipin.com/job_detail/f2f47348dc6db7a11XV73tq4FVA~.html,北京  1-3年本科,发布于05月31日
JAVA开发工程师,25k-50k,链家网,移动互联网C轮10000人以上,https://www.zhipin.com/job_detail/42421a06787d94d61Xdy3Nq7E1I~.html,北京  不限本科,发布于15:53
java开发研发工程师(中级/高级/资深/架构),24k-48k,美团点评,O2OD轮及以上10000人以上,https://www.zhipin.com/job_detail/14174857e5ea3c121nx63NS_FlM~.html,北京  不限本科,发布于06月20日
Java工程师,20k-30k,百度,互联网已上市10000人以上,https://www.zhipin.com/job_detail/c361152e30ba69161Xdy09m5E1Y~.html,北京  1-3年本科,发布于13:16
JAVA开发工程师,15k-22k,站酷创意科技有限公司,互联网B轮100-499人,https://www.zhipin.com/job_detail/0d0ac23fc50d793e1XVz2N-4GVQ~.html,北京  1-3年本科,发布于06月20日
Java 服务器后端开发工程师,15k-25k,公瑾科技,互联网B轮1000-9999人,https://www.zhipin.com/job_detail/10c8b90e0d5f14131XV-0tW1FVQ~.html,北京  1-3年本科,发布于09:50
高级 Java 工程师,20k-40k,知乎,移动互联网D轮及以上1000-9999人,https://www.zhipin.com/job_detail/39486e2acffd31c21nN_0tq6GFA~.html,北京  1-3年本科,发布于03月02日
高级java开发/架构师,20k-35k,京东集团,电子商务不需要融资10000人以上,https://www.zhipin.com/job_detail/b80bb150232a90401XZ53d2_FFE~.html,北京  不限本科,发布于07月06日
java开发工程师,12k-24k,58企服,互联网A轮100-499人,https://www.zhipin.com/job_detail/324cc8cc7396e4401XZ83961EVI~.html,北京  1-3年本科,发布于07月18日
高级java开发工程师,25k-40k,饿了么,O2OD轮及以上10000人以上,https://www.zhipin.com/job_detail/c5b63b6d0b6be61b1XZ82Nm6EFY~.html,北京  1-3年本科,发布于07月04日
Java工程师,15k-30k,易车,互联网已上市1000-9999人,https://www.zhipin.com/job_detail/b7cdb1ce07e67e771Xd909m0ElA~.html,北京  1-3年本科,发布于07月27日
高级Java开发工程师,15k-30k,去哪儿,互联网不需要融资1000-9999人,https://www.zhipin.com/job_detail/658402a1cdf5dd8c1nx-3d66Fls~.html,北京  1-3年本科,发布于03月23日
Java,20k-35k,滴滴出行,移动互联网D轮及以上10000人以上,https://www.zhipin.com/job_detail/ab8f8caf2be15e931nJ72tm7GVA~.html,北京  1-3年本科,发布于12月09日
java,15k-30k,会通教育,互联网B轮100-499人,https://www.zhipin.com/job_detail/ba06d1df7f544b671XR90tW7F1Y~.html,北京  不限本科,发布于05月23日
Java工程师,20k-40k,数字引擎,数据服务天使轮20-99人,https://www.zhipin.com/job_detail/ab793384ebdb7c9c1nFz39m1Elo~.html,北京  1-3年本科,发布于06月24日
java游戏服务器,15k-30k,凌游网络,游戏A轮20-99人,https://www.zhipin.com/job_detail/c805aaeac7d9d9531Xd-3Ni0EVM~.html,北京  1-3年本科,发布于07月21日
高级Java开发工程师,15k-30k,网易乐得,互联网不需要融资10000人以上,https://www.zhipin.com/job_detail/744a09d3404f306d1nV83N-5EVA~.html,北京  1-3年本科,发布于07月26日
Java,20k-40k,阿里巴巴集团,互联网已上市10000人以上,https://www.zhipin.com/job_detail/1f41d2164a781abc1XZ92N--FlY~.html,北京  1-3年本科,发布于07月06日
JAVA工程师,15k-20k,中电融金信息科技,互联网金融20-99人,https://www.zhipin.com/job_detail/bce6e09449245b941Xd62Nu-F1U~.html,北京  1-3年本科,发布于07月27日
java工程师,15k-30k,百度,互联网已上市10000人以上,https://www.zhipin.com/job_detail/484b3c1580a9c12b1Xd509y4EFY~.html,北京  不限本科,发布于07月21日
Java研发工程师-爬虫,15k-30k,链家网(北京),互联网D轮及以上10000人以上,https://www.zhipin.com/job_detail/1e29129ae8b405dc1nd639m9FVI~.html,北京  1-3年本科,发布于07月10日
Java开发工程师,15k-30k,哗啦啦,移动互联网不需要融资1000-9999人,https://www.zhipin.com/job_detail/1165afee525998561XV43Nm-F1I~.html,北京  1年以内本科,发布于06月04日
JAVA开发工程师,25k-40k,趣店,互联网金融已上市1000-9999人,https://www.zhipin.com/job_detail/7682c9e5d5edfb541Xd83tm8EFU~.html,北京  不限不限,发布于07月25日
Java开发工程师-平台技术,18k-35k,滴滴出行,移动互联网D轮及以上10000人以上,https://www.zhipin.com/job_detail/f202d9d9c909c7071XZy292-EFU~.html,北京  不限本科,发布于07月08日
JAVA开发工程师,15k-25k,炼道科技,互联网天使轮20-99人,https://www.zhipin.com/job_detail/4e99f53bff854f651XZ939y5FFA~.html,北京  1-3年本科,发布于19:11
