岗位,薪水,公司名称,详细信息,公司链接
Java开发工程师（web）,20k-30k,Boss直聘,人力资源服务C轮100-499人,https://www.zhipin.com/job_detail/20e8145a71b224d61XV829m7EFc~.html
Java后端工程师,20k-40k,每日优鲜,电子商务C轮1000-9999人,https://www.zhipin.com/job_detail/2084277c48f4fbe01Xdy29u-FlU~.html
Java,20k-40k,贝壳,互联网C轮1000-9999人,https://www.zhipin.com/job_detail/9a04af52d91ce97d1Xdy2tq5FFI~.html
资深Java研发工程师,25k-50k,滴滴出行,移动互联网D轮及以上10000人以上,https://www.zhipin.com/job_detail/57eb40c4f7056df11XR42tW-GFI~.html
Java,10k-11k,云平台,企业服务天使轮20-99人,https://www.zhipin.com/job_detail/634f8f88f961e5791nBy2NS6EFQ~.html
Java 服务器后端开发工程师,15k-25k,公瑾科技,互联网B轮1000-9999人,https://www.zhipin.com/job_detail/10c8b90e0d5f14131XV-0tW1FVQ~.html
Java,10k-20k,国美鼎证,互联网未融资20-99人,https://www.zhipin.com/job_detail/3eebc3cd110c9d151n162dq9ElE~.html
Java,20k-40k,链家网,移动互联网C轮10000人以上,https://www.zhipin.com/job_detail/4cbdddf93e5349f01Xd-3d-1FlI~.html
java开发工程师,15k-25k,嘀嗒出行,移动互联网D轮及以上100-499人,https://www.zhipin.com/job_detail/f9e9ec49b70f20c91XRy09u6GFY~.html
高级Java开发工程师,15k-30k,网易乐得,互联网不需要融资10000人以上,https://www.zhipin.com/job_detail/744a09d3404f306d1nV83N-5EVA~.html
Java,22k-42k,老虎证券,互联网金融C轮100-499人,https://www.zhipin.com/job_detail/12c8e2cbcc419e411XV62969F1s~.html
Java研发工程师-爬虫,15k-30k,链家网(北京),互联网D轮及以上10000人以上,https://www.zhipin.com/job_detail/1e29129ae8b405dc1nd639m9FVI~.html
Java,15k-30k,阿里巴巴集团,互联网已上市10000人以上,https://www.zhipin.com/job_detail/810b119a319cc1b01Xd93tS1EVQ~.html
Java研发工程师（数据工程方向）,20k-30k,Boss直聘,人力资源服务C轮100-499人,https://www.zhipin.com/job_detail/c13ab908c8619b591nN63tq_FFo~.html
Java,20k-40k,蓝石环球,互联网不需要融资100-499人,https://www.zhipin.com/job_detail/5286993b1093f47f1Xd42Ni8GFU~.html
Java,20k-40k,思必驰信息,互联网D轮及以上500-999人,https://www.zhipin.com/job_detail/7df9893dc081a2781nF_2ty-EVU~.html
Java,15k-16k,Boss直聘,人力资源服务C轮100-499人,https://www.zhipin.com/job_detail/2439b21c53fcbcfe1Xdy3tu1FlA~.html
Java开发工程师（呼叫系统）,10k-15k,中海纪元,计算机软件已上市500-999人,https://www.zhipin.com/job_detail/ed74aabdddebce621Xdy3Nm_ElQ~.html
Java数据抓取工程师,10k-20k,伊美信科技,移动互联网不需要融资20-99人,https://www.zhipin.com/job_detail/6ad332a7151545ef1Xd80t-8F1o~.html
Java,15k-30k,节税管家,企业服务不需要融资100-499人,https://www.zhipin.com/job_detail/3625fb43c416af5b1Xd-2N21E1c~.html
java开发,15k-22k,黑派科技,互联网天使轮20-99人,https://www.zhipin.com/job_detail/98c0ff6a1a30d0eb1XR_29q1E1Y~.html
Java 后端工程师,20k-35k,知乎,移动互联网D轮及以上1000-9999人,https://www.zhipin.com/job_detail/a1039c758220538f1XZ609S_FFc~.html
Java,15k-30k,用友网络,互联网已上市1000-9999人,https://www.zhipin.com/job_detail/6ac5bc63307382661XV529S0GVI~.html
java工程师,15k-30k,京东集团,电子商务不需要融资10000人以上,https://www.zhipin.com/job_detail/2add1ea5ae330b7f1nZ929y_GFo~.html
Java,12k-20k,多好科技,移动互联网未融资20-99人,https://www.zhipin.com/job_detail/ea116eaf91fce6dc1Xd90ti_FFQ~.html
java工程师,15k-20k,壹元影业,广播/影视不需要融资20-99人,https://www.zhipin.com/job_detail/dc182c2437fbe4d51Xd-3d-5F1U~.html
Java工程师,20k-40k,VIPKID,移动互联网D轮及以上10000人以上,https://www.zhipin.com/job_detail/ef12f726f6ea46f91nx42Nu6EFY~.html
Java开发工程师,10k-12k,一八九零,企业服务不需要融资100-499人,https://www.zhipin.com/job_detail/1da623843fef639e1Xdy3d67GFI~.html
Java开发工程师,12k-18k,银联数据,数据服务不需要融资500-999人,https://www.zhipin.com/job_detail/fa7d27da590a68651Xd439q4EVo~.html
JAVA开发工程师（北京）,12k-18k,鸿程系统,互联网不需要融资500-999人,https://www.zhipin.com/job_detail/0a3f68612e6bda531XV-3tS9EFU~.html
